date,home_team,away_team,home_score,away_score
2015-06-13,England , Mexico,2,1
2015-06-17,Mexico , France,0,5
2015-06-17,England , Colombia,2,1
2015-06-20,Germany , Sweden,4,1
2015-06-20,China PR , Cameroon,1,0
2015-06-21,Brazil , Australia,0,1
2015-06-21,France , South Korea,3,0
2015-06-21,Canada ,  Switzerland,1,0
2015-06-22,Norway , England,1,2
2015-06-22,United States , Colombia,2,0
2015-06-23,Japan , Netherlands,2,1
2015-06-26,Germany , France,1,1 (a.e.t.) (5
2015-06-26,China PR , United States,0,1
2015-06-27,Australia , Japan,0,1
2015-06-27,England , Canada,2,1
2015-06-30,United States , Germany,2,0
2015-07-01,Japan , England,2,1
2015-07-04,Germany , England,0,1 (a.e.t.)
2015-07-05,United States , Japan,5,2
2003-09-20,Nigeria , North Korea,0,3
2003-09-21,United States , Sweden,3,1
2003-09-25,Sweden , North Korea,1,0
2003-09-25,United States , Nigeria,5,0
2003-09-28,Sweden , Nigeria,3,0
2003-09-28,North Korea , United States,0,3
2003-09-20,Norway , France,2,0
2003-09-21,Brazil , South Korea,3,0
2003-09-24,Norway , Brazil,1,4
2003-09-24,France , South Korea,1,0
2003-09-27,South Korea , Norway,1,7
2003-09-27,France , Brazil,1,1
2003-09-20,Germany , Canada,4,1
2003-09-20,Japan , Argentina,6,0
2003-09-24,Germany , Japan,3,0
2003-09-24,Canada , Argentina,3,0
2003-09-27,Canada , Japan,3,1
2003-09-27,Argentina , Germany,1,6
2003-09-21,Australia , Russia,1,2
2003-09-21,China PR , Ghana,1,0
2003-09-25,Ghana , Russia,0,3
2003-09-25,China PR , Australia,1,1
2003-09-28,Ghana , Australia,2,1
2003-09-28,China PR , Russia,1,0
